#date (d),Odometer (o) {total distance traveled} ,volume of fuel added (v) [,price per liter (p) ,cost paid (c)]
d,v,o  #alter the order
2004-11-01, 0,0    #dummy data
2004-11-04, 32.97,5
2004-11-18, 35.75,581
2004-11-30, 14.42,1273
3.12.04,    33.16,1393
21.12.04,   38.93,2024
27.12.04,   35.47,2556
7.01.05,    31.44,3073
13.01.05,   29.11,3533
22.01.05,   14.85,4050
25.01.05,   35.17,4289
7.02.05,    38.97,4967
24.02.05,   36.76,?
3.03.05,    21.76,6298
8.03.05,    38.34,6620
14.03.05,   35.14,7165
?,          40.54,7867
4.04.05,    34.51,8478
